Identifier;Responsible partner;"Sprint (optional)
";"Competency Question /
 Natural language sentence (fact)";Answer (For Competency Questions);Status (Proposed, Accepted, Rejected, Deprecated);Comments (optional);Extracted from (provenance);"Priority 
(High, Medium, Low) (optional)";Relation with other requirements (optional);Associated ontology elements;Relation to ontology elements in other domains
citser23;;;Spatial units may be grouped into as spatial unit groups. Spatial unit groups can be further grouped into larger spatial unit groups. This is realized by an aggregation relationship of  SpatialUnitGroup onto itself.;;;;5.6 Spatial Unit Package  (ISO19152-1);;;;
citser24;;;Spatial units may be grouped into  as sub-spatial units, or subparcels, that is, a grouping of a spatial unit into its parts. This is realized by an aggregation relationship of  SpatialUnit onto itself. Parts, in their turn, may be grouped into subparts (subsubparcels), and so on.;;;;5.6 Spatial Unit Package  (ISO19152-1);;;;
citser25;;;A  versioned object can have  a Start time of a specific instance version (beginLifespanVersion) corresponding to the moment the event was processed and stored in the system.;;Proposed;Do we need this?;6.3.1 Versioned object  (ISO19152-1);;;;
citser26;;;A  versioned objects can have   a End time of a specific instance version. (endLifespanVersion) corresponding to the moment the event was processed and stored in the system.;;Proposed;Do we need this?;6.3.1 Versioned object  (ISO19152-1);;;;
citser27;;;A version object can have  a Start real world time of a specific instance version (beginRealWorldLifespanVersion).;;Proposed;Do we need this?;6.3.1 Versioned object  (ISO19152-1);;;;
citser28;;;A version object can have   a End real world time of a specific instance version (endRealWorldLifespanVersion).;;Proposed;Do we need this?;6.3.1 Versioned object  (ISO19152-1);;;;
citser29;;;A version object may have a source to indicate the Responsible organization of a specific instance version.;;Proposed;Do we need this?;6.3.1 Versioned object  (ISO19152-1);;;;
citser30;;;A source can have 0 or 1  acceptance atribute to indicate: The date of force of law of the source by an authority (the real-world date/time of the event marking acceptance of the linked objects, e.g. acceptance of the survey).;;;;6.3.4 LA_Source (ISO19152-1);;;;
citser31;;;A source has 1 availabilityStatus attribute to indicate: The availability status of the source.;;;If accepted, look for status at: LA_AvailabilityStatusType (default value is ‘documentAvailable’, see Annex C for more values);6.3.4 LA_Source (ISO19152-1);;;;
citser32;;;A source can have 0 or 1  extArchiveID attribute  to indicate: The identifier of a source in an external registration. ;;;;6.3.4 LA_Source (ISO19152-1);;;;
citser33;;;A source can have 0 or 1 lifeSpanStamp attribute to indicate: The moment that the event, represented by the instance of LA_Source, is further processed in the LA system (this is the moment of endLifespanVersion of old instances, and the moment of beginLifespanVersion of new instances). ;DateTime, based on ISO 19108;;;6.3.4 LA_Source (ISO19152-1);;;;
citser34;;;A source can have 0 or 1  maintype attribute to indicate: The type of document.;;Proposed;"Do we need this?


If accepted, look for types in  CI_PresentationFormCode, based on ISO 19115-1";6.3.4 LA_Source (ISO19152-1);;;;
citser35;;;A source can have 0 or many quality attribute to indicate: Quality of a specific instance version (from ISO 19157-1).;;Proposed;"Do we need this?


If accepted, look for types in QualityElement, based on ISO 19157-1
";6.3.4 LA_Source (ISO19152-1);;;;
citser36;;;A source can have 0 or 1 recordation attribute to indicate:  The date of registration (recordation) of the source by the registering authority (the date/time of the event indicating that the linked objects were recorded in the registry).;DateTime, based on ISO 19108;Proposed;;6.3.4 LA_Source (ISO19152-1);;;;
citser37;;;A source has 1 sID attribute to indicate: the identifier of the source. ;;Proposed;Based on Oid but we might want to use other Ids.;6.3.4 LA_Source (ISO19152-1);;;;
citser38;;;A source have 0 or many soruce  attribute to indicate: The responsible party of the source.;;Proposed;"Do we need this?


If accepted look for more information at Responsibility,based on ISO 19115-1";6.3.4 LA_Source (ISO19152-1);;;;
citser39;;;A source can have 0 or 1  submission  attribute to indicate: The date of submission of the source by a party.;DateTime, based on ISO 19108;Proposed;;;;;;
